"experiment_group","total_user_cnt","retention_1_rate","retention_7_rate","avg_gamerounds","total_gamerounds"
gate_30,44700,0.4482,0.1902,52.46,2344795
gate_40,45489,0.4423,0.1820,51.30,2333530
